Month,Catheter_Days,CAUTI_Cases,Facility
2022-01-01,903,3,Main Hospital
2022-02-01,1139,2,Main Hospital
2022-03-01,1053,6,Main Hospital
2022-04-01,1026,2,Main Hospital
2022-05-01,911,1,Main Hospital
2022-06-01,898,3,Main Hospital
2022-07-01,952,2,Main Hospital
2022-08-01,1148,6,Main Hospital
2022-09-01,1183,2,Main Hospital
2022-10-01,1165,4,Main Hospital
2022-11-01,1137,3,Main Hospital
2022-12-01,993,5,Main Hospital
2023-01-01,1109,8,Main Hospital
2023-02-01,962,3,Main Hospital
2023-03-01,1007,1,Main Hospital
2023-04-01,968,0,Main Hospital
2023-05-01,960,2,Main Hospital
2023-06-01,867,1,Main Hospital
2023-07-01,1088,0,Main Hospital
2023-08-01,1197,2,Main Hospital
2023-09-01,1076,3,Main Hospital
2023-10-01,1103,1,Main Hospital
2023-11-01,1183,6,Main Hospital
2023-12-01,1191,3,Main Hospital
