facility_id,facility_name,citytown,state,countyparish,measure_id,measure_name,compared_to_national,score,start_date,end_date
050002,ST ROSE HOSPITAL,HAYWARD,CA,ALAMEDA,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,No Different than National Benchmark,0,07/01/2024,06/30/2025
050002,ST ROSE HOSPITAL,HAYWARD,CA,ALAMEDA,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,No Different than National Benchmark,1397,07/01/2024,06/30/2025
050002,ST ROSE HOSPITAL,HAYWARD,CA,ALAMEDA,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,No Different than National Benchmark,1,07/01/2024,06/30/2025
050002,ST ROSE HOSPITAL,HAYWARD,CA,ALAMEDA,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,No Different than National Benchmark,2040,07/01/2024,06/30/2025
050006,PROVIDENCE ST JOSEPH HOSPITAL,EUREKA,CA,HUMBOLDT,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,No Different than National Benchmark,0,07/01/2024,06/30/2025
050006,PROVIDENCE ST JOSEPH HOSPITAL,EUREKA,CA,HUMBOLDT,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,No Different than National Benchmark,3167,07/01/2024,06/30/2025
050006,PROVIDENCE ST JOSEPH HOSPITAL,EUREKA,CA,HUMBOLDT,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,No Different than National Benchmark,2,07/01/2024,06/30/2025
050006,PROVIDENCE ST JOSEPH HOSPITAL,EUREKA,CA,HUMBOLDT,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,No Different than National Benchmark,4381,07/01/2024,06/30/2025
050007,PENINSULA MEDICAL CENTER,BURLINGAME,CA,SAN MATEO,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,No Different than National Benchmark,1,07/01/2024,06/30/2025
050007,PENINSULA MEDICAL CENTER,BURLINGAME,CA,SAN MATEO,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,No Different than National Benchmark,4496,07/01/2024,06/30/2025
050007,PENINSULA MEDICAL CENTER,BURLINGAME,CA,SAN MATEO,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,Better than the National Benchmark,1,07/01/2024,06/30/2025
050007,PENINSULA MEDICAL CENTER,BURLINGAME,CA,SAN MATEO,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,Better than the National Benchmark,5811,07/01/2024,06/30/2025
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,SAN FRANCISCO,CA,SAN FRANCISCO,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,No Different than National Benchmark,1,07/01/2024,06/30/2025
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,SAN FRANCISCO,CA,SAN FRANCISCO,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,No Different than National Benchmark,1999,07/01/2024,06/30/2025
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,SAN FRANCISCO,CA,SAN FRANCISCO,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,Better than the National Benchmark,0,07/01/2024,06/30/2025
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,SAN FRANCISCO,CA,SAN FRANCISCO,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,Better than the National Benchmark,1977,07/01/2024,06/30/2025
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,NAPA,CA,NAPA,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,No Different than National Benchmark,1,07/01/2024,06/30/2025
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,NAPA,CA,NAPA,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,No Different than National Benchmark,2144,07/01/2024,06/30/2025
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,NAPA,CA,NAPA,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,No Different than National Benchmark,0,07/01/2024,06/30/2025
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,NAPA,CA,NAPA,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,No Different than National Benchmark,2872,07/01/2024,06/30/2025
050013,ADVENTIST HEALTH ST HELENA,SAINT HELENA,CA,NAPA,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,No Different than National Benchmark,1,07/01/2024,06/30/2025
050013,ADVENTIST HEALTH ST HELENA,SAINT HELENA,CA,NAPA,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,No Different than National Benchmark,2674,07/01/2024,06/30/2025
050013,ADVENTIST HEALTH ST HELENA,SAINT HELENA,CA,NAPA,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,Not Available,0,07/01/2024,06/30/2025
050013,ADVENTIST HEALTH ST HELENA,SAINT HELENA,CA,NAPA,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,Not Available,1865,07/01/2024,06/30/2025
050014,SUTTER AMADOR HOSPITAL,JACKSON,CA,AMADOR,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,Not Available,0,07/01/2024,06/30/2025
050014,SUTTER AMADOR HOSPITAL,JACKSON,CA,AMADOR,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,Not Available,652,07/01/2024,06/30/2025
050014,SUTTER AMADOR HOSPITAL,JACKSON,CA,AMADOR,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,Not Available,0,07/01/2024,06/30/2025
050014,SUTTER AMADOR HOSPITAL,JACKSON,CA,AMADOR,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,Not Available,1197,07/01/2024,06/30/2025
050017,MERCY GENERAL HOSPITAL,SACRAMENTO,CA,SACRAMENTO,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,Better than the National Benchmark,3,07/01/2024,06/30/2025
050017,MERCY GENERAL HOSPITAL,SACRAMENTO,CA,SACRAMENTO,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,Better than the National Benchmark,9073,07/01/2024,06/30/2025
050017,MERCY GENERAL HOSPITAL,SACRAMENTO,CA,SACRAMENTO,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,Better than the National Benchmark,5,07/01/2024,06/30/2025
050017,MERCY GENERAL HOSPITAL,SACRAMENTO,CA,SACRAMENTO,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,Better than the National Benchmark,8791,07/01/2024,06/30/2025
050022,RIVERSIDE COMMUNITY HOSPITAL,RIVERSIDE,CA,RIVERSIDE,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,No Different than National Benchmark,12,07/01/2024,06/30/2025
050022,RIVERSIDE COMMUNITY HOSPITAL,RIVERSIDE,CA,RIVERSIDE,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,No Different than National Benchmark,18289,07/01/2024,06/30/2025
050022,RIVERSIDE COMMUNITY HOSPITAL,RIVERSIDE,CA,RIVERSIDE,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,No Different than National Benchmark,12,07/01/2024,06/30/2025
050022,RIVERSIDE COMMUNITY HOSPITAL,RIVERSIDE,CA,RIVERSIDE,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,No Different than National Benchmark,13485,07/01/2024,06/30/2025
050024,PARADISE VALLEY HOSPITAL,NATIONAL CITY,CA,SAN DIEGO,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,Not Available,0,07/01/2024,06/30/2025
050024,PARADISE VALLEY HOSPITAL,NATIONAL CITY,CA,SAN DIEGO,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,Not Available,828,07/01/2024,06/30/2025
050024,PARADISE VALLEY HOSPITAL,NATIONAL CITY,CA,SAN DIEGO,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,No Different than National Benchmark,0,07/01/2024,06/30/2025
050024,PARADISE VALLEY HOSPITAL,NATIONAL CITY,CA,SAN DIEGO,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,No Different than National Benchmark,2188,07/01/2024,06/30/2025
050025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,SAN DIEGO,CA,SAN DIEGO,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,Better than the National Benchmark,19,07/01/2024,06/30/2025
050025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,SAN DIEGO,CA,SAN DIEGO,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,Better than the National Benchmark,35328,07/01/2024,06/30/2025
050025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,SAN DIEGO,CA,SAN DIEGO,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,Better than the National Benchmark,25,07/01/2024,06/30/2025
050025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,SAN DIEGO,CA,SAN DIEGO,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,Better than the National Benchmark,24285,07/01/2024,06/30/2025
050026,GROSSMONT HOSPITAL,LA MESA,CA,SAN DIEGO,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,Better than the National Benchmark,7,07/01/2024,06/30/2025
050026,GROSSMONT HOSPITAL,LA MESA,CA,SAN DIEGO,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,Better than the National Benchmark,13809,07/01/2024,06/30/2025
050026,GROSSMONT HOSPITAL,LA MESA,CA,SAN DIEGO,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,Better than the National Benchmark,13,07/01/2024,06/30/2025
050026,GROSSMONT HOSPITAL,LA MESA,CA,SAN DIEGO,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,Better than the National Benchmark,15654,07/01/2024,06/30/2025
050028,MAD RIVER COMMUNITY HOSPITAL,ARCATA,CA,HUMBOLDT,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,Not Available,0,07/01/2024,06/30/2025
050028,MAD RIVER COMMUNITY HOSPITAL,ARCATA,CA,HUMBOLDT,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,Not Available,273,07/01/2024,06/30/2025
050028,MAD RIVER COMMUNITY HOSPITAL,ARCATA,CA,HUMBOLDT,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,Not Available,1,07/01/2024,06/30/2025
