Date,Avg_Wait_Time_Minutes,Department
2023-01-01,41.9,Emergency
2023-01-02,33.3,Emergency
2023-01-03,47.4,Emergency
2023-01-04,47.1,Emergency
2023-01-05,45.0,Emergency
2023-01-06,43.1,Emergency
2023-01-07,33.7,Emergency
2023-01-08,41.6,Emergency
2023-01-09,42.3,Emergency
2023-01-10,38.6,Emergency
2023-01-11,43.7,Emergency
2023-01-12,48.2,Emergency
2023-01-13,60.1,Emergency
2023-01-14,46.4,Emergency
2023-01-15,47.1,Emergency
2023-01-16,85.0,Emergency
2023-01-17,92.0,Emergency
2023-01-18,44.8,Emergency
2023-01-19,45.5,Emergency
2023-01-20,64.7,Emergency
2023-01-21,43.5,Emergency
2023-01-22,47.4,Emergency
2023-01-23,44.7,Emergency
2023-01-24,35.7,Emergency
2023-01-25,54.1,Emergency
2023-01-26,51.0,Emergency
2023-01-27,51.3,Emergency
2023-01-28,37.7,Emergency
2023-01-29,56.2,Emergency
2023-01-30,33.8,Emergency
2023-01-31,49.7,Emergency
2023-02-01,62.5,Emergency
2023-02-02,37.1,Emergency
2023-02-03,40.5,Emergency
2023-02-04,45.8,Emergency
2023-02-05,41.0,Emergency
2023-02-06,32.6,Emergency
2023-02-07,45.5,Emergency
2023-02-08,36.5,Emergency
2023-02-09,48.8,Emergency
2023-02-10,57.6,Emergency
2023-02-11,77.4,Emergency
2023-02-12,58.7,Emergency
2023-02-13,62.4,Emergency
2023-02-14,71.5,Emergency
2023-02-15,55.2,Emergency
2023-02-16,46.8,Emergency
2023-02-17,55.5,Emergency
2023-02-18,32.1,Emergency
2023-02-19,46.5,Emergency
2023-02-20,47.1,Emergency
2023-02-21,51.3,Emergency
2023-02-22,35.1,Emergency
2023-02-23,34.4,Emergency
2023-02-24,49.2,Emergency
2023-02-25,47.4,Emergency
2023-02-26,47.0,Emergency
2023-02-27,47.8,Emergency
2023-02-28,39.6,Emergency
2023-03-01,46.9,Emergency
