physician,year,observed_deaths,expected_deaths
SURG-01,2023,7,6.3
SURG-01,2024,9,6.7
SURG-01,2025,3,6.1
SURG-02,2023,9,6.5
SURG-02,2024,7,6.9
SURG-02,2025,9,6.0
SURG-03,2023,3,4.3
SURG-03,2024,4,4.3
SURG-03,2025,7,4.1
SURG-04,2023,4,7.9
SURG-04,2024,14,8.2
SURG-04,2025,10,8.4
SURG-05,2023,7,7.1
SURG-05,2024,13,7.6
SURG-05,2025,6,8.2
SURG-06,2023,9,9.0
SURG-06,2024,11,10.2
SURG-06,2025,5,9.2
SURG-07,2023,11,5.1
SURG-07,2024,10,4.8
SURG-07,2025,12,5.3
SURG-08,2023,10,11.6
SURG-08,2024,21,13.5
SURG-08,2025,9,13.2
SURG-09,2023,10,8.6
SURG-09,2024,10,8.1
SURG-09,2025,8,8.6
SURG-10,2023,4,4.0
SURG-10,2024,6,4.2
SURG-10,2025,1,4.5
SURG-11,2023,33,32.9
SURG-11,2024,34,31.1
SURG-11,2025,25,32.0
SURG-12,2023,7,12.1
SURG-12,2024,10,14.5
SURG-12,2025,16,14.3
SURG-13,2023,10,10.3
SURG-13,2024,5,9.7
SURG-13,2025,10,10.3
SURG-14,2023,3,3.8
SURG-14,2024,9,3.8
SURG-14,2025,3,4.0
SURG-15,2023,24,14.2
SURG-15,2024,23,13.6
SURG-15,2025,26,14.7
SURG-16,2023,17,14.3
SURG-16,2024,13,12.4
SURG-16,2025,14,13.3
SURG-17,2023,11,11.1
SURG-17,2024,9,13.0
SURG-17,2025,7,12.2
SURG-18,2023,31,32.7
SURG-18,2024,35,30.8
SURG-18,2025,27,30.5
SURG-19,2023,13,10.9
SURG-19,2024,17,11.2
SURG-19,2025,13,10.8
SURG-20,2023,9,13.5
SURG-20,2024,12,13.2
SURG-20,2025,12,14.9
SURG-21,2023,7,15.0
SURG-21,2024,6,14.4
SURG-21,2025,7,15.6
SURG-22,2023,10,8.0
SURG-22,2024,8,7.4
SURG-22,2025,7,8.0
SURG-23,2023,26,24.3
SURG-23,2024,28,25.7
SURG-23,2025,28,26.7
SURG-24,2023,2,6.4
SURG-24,2024,8,7.0
SURG-24,2025,4,6.1
